Code,Alloy,Co,Cr,Al,Ti,Mo,W,Cb,Ta,C,B,Zr,Hf,Fe,V,Cu,Re
02-04-001,B-1900,10.000,8.000,6.000,1.000,6.000,0.100,0.100,4.300,0.100,0.015,0.080,0.000,0.000,0.000,0.000,0.000
02-04-002,B-1900 + HF,10.000,8.000,6.000,1.000,6.000,0.100,0.100,4.300,0.100,0.015,0.080,1.000,0.000,0.000,0.000,0.000
02-04-003,IN-100,15.000,10.000,5.500,5.500,3.000,0.000,0.000,0.000,0.180,0.015,0.050,0.000,0.000,1.000,0.000,0.000
02-04-004,IN-713C,0.000,12.000,5.900,0.600,4.500,0.000,2.000,0.000,0.050,0.010,0.100,0.000,0.000,0.000,0.000,0.000
02-04-005,IN-738,8.500,16.000,3.400,3.400,1.750,2.600,0.900,1.750,0.170,0.010,0.100,0.000,0.000,0.000,0.000,0.000
02-04-007,IN-792 + Hf,9.000,12.700,3.200,4.200,2.000,3.900,0.000,3.900,0.210,0.020,0.100,0.750,0.000,0.000,0.000,0.000
02-04-031,IN-939,19.000,22.000,2.000,3.600,0.000,2.000,1.000,1.500,0.150,0.010,0.100,0.000,0.000,0.000,0.000,0.000
02-04-008,MAR-M-200,10.000,9.000,5.000,2.000,0.000,12.500,2.700,0.000,0.150,0.015,0.050,0.000,0.000,0.000,0.000,0.000
02-04-009,MAR-M-200 + Hf,10.000,9.000,5.000,2.000,0.000,11.500,1.000,0.000,0.150,0.015,0.050,1.500,0.000,0.000,0.000,0.000
02-04-010,DS MAR-M-200 + Hf,10.000,9.000,5.000,2.000,0.000,11.500,1.000,0.000,0.150,0.015,0.050,1.500,0.000,0.000,0.000,0.000
02-04-011,MAR-M-211,10.000,9.000,5.000,2.000,2.500,5.000,2.700,0.000,0.150,0.015,0.050,0.000,0.000,0.000,0.000,0.000
02-04-012,MAR-M-246,11.000,11.000,5.000,1.500,0.000,0.000,0.000,2.000,0.090,0.010,0.010,0.000,0.000,0.000,0.100,0.000
02-04-013,MAR-M-421,9.500,15.800,4.300,1.800,2.000,3.800,2.000,0.000,0.150,0.015,0.050,0.000,0.000,0.000,0.000,0.000
02-04-021,NASA-TRW-VIA,7.500,6.100,5.400,1.000,2.000,5.800,0.500,9.000,0.130,0.020,0.130,0.040,0.000,0.000,0.000,0.500
02-04-027,NX-188,0.000,10.000,8.000,0.000,18.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02-04-025,Rene 80,9.500,14.000,3.000,5.000,4.000,0.000,0.000,0.000,0.170,0.015,0.030,0.000,0.000,0.000,0.000,0.000
02-04-016,Rene 120,10.000,9.000,4.300,4.000,2.000,7.000,0.000,3.800,0.000,0.015,0.070,0.000,0.000,0.000,0.000,0.000
02-04-017,Rene 125,10.000,9.000,5.000,2.500,2.000,7.000,0.000,3.800,0.100,0.020,0.050,1.500,0.000,0.000,0.000,0.000
02-04-019,TAZ-8A,0.000,6.000,6.000,0.000,4.000,4.000,2.500,8.000,0.125,0.004,1.000,0.000,0.000,0.000,0.000,0.000
02-04-032,TRW-R,8.000,8.000,5.300,0.800,3.000,4.000,0.300,6.000,0.050,0.015,0.120,1.000,0.000,0.000,0.000,0.000
02-04-022,U-700,18.500,15.000,4.300,3.500,4.500,0.000,0.000,0.000,0.070,0.030,0.080,0.000,0.000,0.000,0.000,0.000
02-04-023,U-710,15.000,18.000,2.500,5.000,3.000,1.500,0.000,0.000,0.100,0.012,0.000,0.000,0.000,0.000,0.000,0.000
02-04-024,WAZ-20,0.000,0.000,6.500,0.000,18.500,0.000,0.000,0.000,0.150,0.000,0.150,0.000,0.000,0.000,0.000,0.000
