page,code,time_hr,weight_change_mg_cm2
157,03-02-003-102-1,0,0
157,03-02-003-102-1,1,1.45
157,03-02-003-102-1,15,-0.16
157,03-02-003-102-1,30,-2.13
157,03-02-003-102-1,45,-13.6
157,03-02-003-102-1,60,-33.61
157,03-02-003-102-1,75,-52.28
157,03-02-003-102-1,90,-77.5
157,03-02-003-102-1,100,-97.87
158,03-02-003-102-2,0,0
158,03-02-003-102-2,1,1.27
158,03-02-003-102-2,15,-0.4
158,03-02-003-102-2,30,-7.22
158,03-02-003-102-2,45,-27.82
158,03-02-003-102-2,60,-52.49
158,03-02-003-102-2,75,-86.38
158,03-02-003-102-2,90,-140.68
158,03-02-003-102-2,100,-177.51
159,03-02-003-323-4,0,0
159,03-02-003-323-4,1,-0.1
159,03-02-003-323-4,15,0.1
159,03-02-003-323-4,30,-14.11
159,03-02-003-323-4,45,-61.87
159,03-02-003-323-4,60,-120.62
159,03-02-003-323-4,75,-177.9
159,03-02-003-323-4,90,-233.02
159,03-02-003-323-4,100,-265.19
160,03-02-003-310-1,0,0
160,03-02-003-310-1,1,0.62
160,03-02-003-310-1,15,0.06
160,03-02-003-310-1,30,1.61
160,03-02-003-310-1,45,0.68
160,03-02-003-310-1,60,-4.03
160,03-02-003-310-1,75,-9.61
160,03-02-003-310-1,90,-21.89
160,03-02-003-310-1,100,-32.34
160,03-02-003-310-1,115,-53.6
160,03-02-003-310-1,130,-62.38
160,03-02-003-310-1,145,-77.45
160,03-02-003-310-1,160,-93.43
160,03-02-003-310-1,175,-110.65
160,03-02-003-310-1,190,-127.44
160,03-02-003-310-1,200,-137.9
161,03-02-003-326-4,0,0
161,03-02-003-326-4,1,0.56
161,03-02-003-326-4,15,1.64
161,03-02-003-326-4,30,3.52
161,03-02-003-326-4,45,-9.71
161,03-02-003-326-4,60,-22.28
161,03-02-003-326-4,75,-43.42
161,03-02-003-326-4,90,-62.52
161,03-02-003-326-4,100,-72.71
161,03-02-003-326-4,115,-92.81
161,03-02-003-326-4,130,-115.17
161,03-02-003-326-4,145,-138.43
161,03-02-003-326-4,160,-161.24
161,03-02-003-326-4,175,-179.81
161,03-02-003-326-4,190,-198.26
161,03-02-003-326-4,200,-211.15
162,03-02-002-099-1,0,0
162,03-02-002-099-1,1,2.49
162,03-02-002-099-1,15,-85.39
162,03-02-002-099-1,30,-189.58
162,03-02-002-099-1,45,-286.05
162,03-02-002-099-1,60,-383.38
162,03-02-002-099-1,75,-472.69
162,03-02-002-099-1,90,-557.34
162,03-02-002-099-1,100,-608.21
163,03-02-002-099-2,0,0
163,03-02-002-099-2,1,2.65
163,03-02-002-099-2,15,-81.87
163,03-02-002-099-2,30,-202.28
163,03-02-002-099-2,45,-317.06
163,03-02-002-099-2,60,-424.07
163,03-02-002-099-2,75,-521.3
163,03-02-002-099-2,90,-609.22
163,03-02-002-099-2,100,-663.28
164,03-02-002-105-4,0,0
164,03-02-002-105-4,1,2.25
164,03-02-002-105-4,15,-49.38
164,03-02-002-105-4,30,-171.39
164,03-02-002-105-4,45,-292.62
164,03-02-002-105-4,60,-403.98
164,03-02-002-105-4,75,-503.75
164,03-02-002-105-4,90,-594
164,03-02-002-105-4,100,-650.6
165,03-02-002-105-5,0,0
165,03-02-002-105-5,1,2.28
165,03-02-002-105-5,15,-48.4
165,03-02-002-105-5,30,-167.99
165,03-02-002-105-5,45,-281.23
165,03-02-002-105-5,60,-385.22
