page,code,time_hr,type,composition
158,03-02-003-102-2,100,Oxide,Cr2O3
158,03-02-003-102-2,100,Spinel,8.35
159,03-02-003-323-4,200,Spinel,8.3
159,03-02-003-323-4,200,Oxide,CoO
159,03-02-003-323-4,200,Oxide,Cr2O3
160,03-02-003-310-1,200,Spinel ,8.35
160,03-02-003-310-1,200,Oxide,CoO
161,03-02-003-326-4,200,Oxide,CoO
161,03-02-003-326-4,200,Spinel ,8.35
161,03-02-003-326-4,200,Oxide,Al2TiO5
163,03-02-002-099-2,100,Spinel ,8.35
163,03-02-002-099-2,100,Oxide ,Cr2O3
163,03-02-002-099-2,100,Oxide ,CoWO4 15-867
164,03-02-002-105-4,100,Unknown,Unknown
165,03-02-002-105-5,100,Spinel ,8.35
165,03-02-002-105-5,100,Oxide ,Cr2O3
165,03-02-002-105-5,100,Oxide ,NiO
168,03-03-002-120-2,100,Oxide ,Cr2O3
168,03-03-002-120-2,100,Oxide ,CoWO4 15-867
168,03-03-002-120-2,100,Oxide ,CoO
168,03-03-002-120-2,100,Spinel ,8.35
168,03-03-002-120-2,100,Rutile,3.3
169,03-02-002-151-1,100,Oxide ,CoO
169,03-02-002-151-1,100,Spinel ,8.3
169,03-02-002-151-1,100,Oxide ,Cr2O3
171,03-02-002-140-4,100,Spinel ,8.3
171,03-02-002-140-4,100,Oxide ,Cr2O3
171,03-02-002-140-4,100,Oxide ,CoO
173,03-02-002-104-1,100,Spinel ,8.3
173,03-02-002-104-1,100,Oxide ,Cr2O3
173,03-02-002-104-1,100,Oxide ,CoO
176,03-02-001-095-4,100,Spinel ,8.25
176,03-02-001-095-4,100,Oxide ,Cr2O3
177,03-02-001-105-3,100,Spinel ,8.35
177,03-02-001-105-3,100,Oxide ,Cr2O3
177,03-02-001-105-3,100,Oxide ,NiO
177,03-02-001-105-3,100,Oxide ,"Ni(W, Mo)O4 Type 1"
182,03-02-001-096-4,100,Spinel ,8.35
184,03-02-001-131-5,100,Oxide ,CoO
184,03-02-001-131-5,100,Spinel ,8.3
184,03-02-001-131-5,100,Oxide ,Cr2O3
188,03-02-001-098-5,100,Oxide ,Cr2O3
188,03-02-001-098-5,100,Spinel ,8.3
