page,code,time_hr,type,composition
6,02-04-001-041-1,100,Oxide,NiO
6,02-04-001-041-1,100,Spinel,8.2
6,02-04-001-041-1,100,Oxide,Cr2O3
6,02-04-001-041-1,100,Unknown,3.26
7,02-04-001-078-2,100,Oxide,NiO
7,02-04-001-078-2,100,Rutile,3.3
7,02-04-001-078-2,100,Rutile,3.3
7,02-04-001-078-2,100,Oxide,Al2O3
8,02-04-001-095-1,100,Oxide,NiO
8,02-04-001-095-1,100,Spinel,8.25
8,02-04-001-095-1,100,Spinel,8.15
11,02-04-001-101-6,100,Oxide,Cr2O3
11,02-04-001-101-6,100,Spinel,8.35
13,02-04-001-107-5,100,Oxide,NiO
13,02-04-001-107-5,100,Rutile,3.3
13,02-04-001-107-5,100,Rutile,3.3
13,02-04-001-107-5,100,Spinel,8.1
17,02-04-001-123-5,100,Oxide,NiO
17,02-04-001-123-5,100,Rutile,3.3
17,02-04-001-123-5,100,Spinel,8.3
17,02-04-001-123-5,100,Spinel,8.05
22,02-04-001-130-2,100,Oxide,NiO
22,02-04-001-130-2,100,Rutile,3.3
22,02-04-001-130-2,100,Spinel,8.05
22,02-04-001-130-2,100,Spinel,8.25
22,02-04-001-130-2,100,Oxide,ZrO2
25,02-04-001-130-5,100,Spinel,8.05
25,02-04-001-130-5,100,Oxide,NiO
25,02-04-001-130-5,100,Spinel,8.25
25,02-04-001-130-5,100,Rutile,3.3
26,02-04-001-130-6,100,Oxide,NiO
26,02-04-001-130-6,100,Spinel,8.25
26,02-04-001-130-6,100,Rutile,3.3
26,02-04-001-130-6,100,Spinel,8.05
28,02-04-001-204-4,100,Oxide,NiO
28,02-04-001-204-4,100,Rutile,3.3
28,02-04-001-204-4,100,Spinel,8.2
29,02-04-001-221-1,100,Rutile,3.3
29,02-04-001-221-1,100,Oxide,NiO
29,02-04-001-221-1,100,Spinel,8.05
29,02-04-001-221-1,100,Spinel,8.25
29,02-04-001-221-1,100,Oxide,Al2O3
29,02-04-001-221-1,100,Unknown,2.64
29,02-04-001-221-1,100,Unknown,3.6
29,02-04-001-221-1,100,Unknown,4.38
29,02-04-001-221-1,100,Unknown,5.09
30,02-04-001-221-5,100,Oxide,NiO
30,02-04-001-221-5,100,Spinel,8.25
30,02-04-001-221-5,100,Spinel,8.1
30,02-04-001-221-5,100,Rutile,3.3
30,02-04-001-221-5,100,Rutile,3.3
30,02-04-001-221-5,100,Unknown,5.05
30,02-04-001-221-5,100,Unknown,2.65
30,02-04-001-221-5,100,Unknown,4.39
31,02-04-001-328-1,100,Oxide,NiO
31,02-04-001-328-1,100,Spinel,8.3
