page,code,time_hr,type,composition
6,02-04-001-041-1,100,Spinel,8.1
6,02-04-001-041-1,100,Unknown,2.57
6,02-04-001-041-1,100,Unknown,3.29
6,02-04-001-041-1,100,Unknown,3.52
7,02-04-001-078-2,100,Rutile,3.3
7,02-04-001-078-2,100,Spinel,8.1
7,02-04-001-078-2,100,Oxide,NiO
7,02-04-001-078-2,100,Oxide,Al2O3
8,02-04-001-095-1,100,Spinel,8.15
8,02-04-001-095-1,100,Oxide,NiO
11,02-04-001-101-6,100,Oxide,NiO
11,02-04-001-101-6,100,Oxide,Al2O3
11,02-04-001-101-6,100,Rutile,3.3
11,02-04-001-101-6,100,Spinel,8.1
13,02-04-001-107-5,100,Rutile,3.3
13,02-04-001-107-5,100,Oxide,Al2O3
13,02-04-001-107-5,100,Spinel,8.15
13,02-04-001-107-5,100,Oxide,NiO
16,02-04-001-123-4,100,Spinel,8.1
16,02-04-001-123-4,100,Oxide,Al2O3
16,02-04-001-123-4,100,Rutile,3.3
16,02-04-001-123-4,100,Spinel,8.25
17,02-04-001-123-5,100,Spinel,8.1
17,02-04-001-123-5,100,Oxide,Al2O3
17,02-04-001-123-5,100,Rutile,3.3
17,02-04-001-123-5,100,Oxide,NiO
17,02-04-001-123-5,100,Spinel,8.25
17,02-04-001-123-5,100,Oxide,Cr2O3
22,02-04-001-130-2,100,Spinel,8.1
22,02-04-001-130-2,100,Spinel,8.25
22,02-04-001-130-2,100,Oxide,NiO
22,02-04-001-130-2,100,Rutile,3.3
25,02-04-001-130-5,100,Spinel,8.1
25,02-04-001-130-5,100,Rutile,3.3
25,02-04-001-130-5,100,Oxide,NiO
26,02-04-001-130-6,100,Spinel,8.1
26,02-04-001-130-6,100,Rutile,3.3
26,02-04-001-130-6,100,Oxide,NiO
26,02-04-001-130-6,100,Spinel,8.25
28,02-04-001-204-4,100,Oxide,Al2O3
28,02-04-001-204-4,100,Spinel,8.15
29,02-04-001-221-1,100,Spinel,8.1
29,02-04-001-221-1,100,Oxide,Al2O3
29,02-04-001-221-1,100,Rutile,3.3
30,02-04-001-221-5,100,Spinel,8.2
30,02-04-001-221-5,100,Oxide,Al2O3
30,02-04-001-221-5,100,Rutile,3.3
31,02-04-001-328-1,100,Spinel,8.1
31,02-04-001-328-1,100,Oxide,Al2O3
31,02-04-001-328-1,100,Rutile,3.3
31,02-04-001-328-1,100,Spinel,8.25
32,02-04-001-321-2,100,Spinel,8.1
32,02-04-001-321-2,100,Oxide,Al2O3
32,02-04-001-321-2,100,Spinel,8.25
32,02-04-001-321-2,100,Rutile,3.3
33,02-04-001-328-1,100,Spinel,8.1
33,02-04-001-328-1,100,Oxide,Al2O3
33,02-04-001-328-1,100,Rutile,3.3
33,02-04-001-328-1,100,Spinel,8.25
34,02-04-001-337-4,100,Spinel,8.1
34,02-04-001-337-4,100,Oxide,Al2O3
34,02-04-001-337-4,100,Rutile,3.3
34,02-04-001-337-4,100,Spinel,8.25
35,02-04-001-002-1,8,Oxide,Al2O3
35,02-04-001-002-1,8,Rutile,3.3
35,02-04-001-002-5,100,Oxide,Al2O3
35,02-04-001-002-5,100,Rutile,3.3
40,02-04-001-115-3,100,Spinell,8.1
40,02-04-001-115-3,100,Rutile,3.3
40,02-04-001-115-3,100,Oxide,Al2O3
42,02-04-001-186-6,200,Spinel,8.1
42,02-04-001-186-6,200,Oxide,Al2O3
42,02-04-001-186-6,200,Rutile,3.3
42,02-04-001-186-6,500,Oxide,Al2O3
42,02-04-001-186-6,500,Spinel,8.1
42,02-04-001-186-6,500,Rutile,3.3
43,02-04-001-190-5,200,Spinel,8.1
43,02-04-001-190-5,200,Oxide,Al2O3
43,02-04-001-190-5,200,Rutile,3.3
44,02-04-001-231-5,500,Spinel,8.1
44,02-04-001-231-5,500,Oxide,Al2O3
44,02-04-001-231-5,500,Rutile,3.3
45,02-04-001-238-5,500,Spinel,8.1
45,02-04-001-238-5,500,Oxide,Al2O3
45,02-04-001-238-5,500,Rutile,3.3
46,02-04-001-276-6,200,Spinel,8.1
46,02-04-001-276-6,200,Rutile,3.3
46,02-04-001-276-6,200,Oxide,Al2O3
46,02-04-001-276-6,500,Spinel,8.1
46,02-04-001-276-6,500,Oxide,Al2O3
46,02-04-001-276-6,500,Oxide,NiO
46,02-04-001-276-6,500,Rutile,3.3
47,02-04-001-324-2,200,Spinel,8.1
47,02-04-001-324-2,200,Oxide,Al2O3
47,02-04-001-324-2,200,Rutile,3.3
48,02-04-001-327-1,200,Oxide,Al2O3
48,02-04-001-327-1,200,Spinel,8.05
49,02-04-001-336-4,200,Oxide,NiO
49,02-04-001-336-4,200,Spinel,8.15
49,02-04-001-336-4,200,Rutile,3.3
49,02-04-001-336-4,200,Oxide,"Ni(W,Mo)O4 Type 2"
50,02-04-001-096-2,100,Spinel,8.1
50,02-04-001-096-2,100,Oxide,Al2O3
50,02-04-001-096-2,100,Oxide,NiO
52,02-04-001-098-1,100,Spinel,8.05
52,02-04-001-098-1,100,Rutile,3.3
54,02-04-001-006-1,8,Oxide,Al2O3
54,02-04-001-006-1,8,Oxide,Cr2O3
54,02-04-001-006-5,100,Oxide,Al2O3
54,02-04-001-006-5,100,Rutile,3.3
55,02-04-002-323-3,100,Spinel,8.1
55,02-04-002-323-3,100,Oxide,HfO2
55,02-04-002-323-3,100,Oxide,Al2O3
55,02-04-002-323-3,100,Rutile,3.3
56,02-04-002-190-4,200,Spinel,8.1
56,02-04-002-190-4,200,Oxide,Al2O3
56,02-04-002-190-4,200,Rutile,3.3
57,02-04-002-326-3,200,Spinel,8.05
57,02-04-002-326-3,200,Oxide,Al2O3
57,02-04-002-326-3,200,Rutile,3.3
57,02-04-002-326-3,200,Oxide,HfO2
58,02-04-003-041-6,100,Spinel,8.1
58,02-04-003-041-6,100,Unknown,2.57
58,02-04-003-041-6,100,Unknown,3.29
58,02-04-003-041-6,100,Unknown,3.52
59,02-04-003-095-3,75,Spinel,8.3
61,02-04-003-105-2,100,Spinel,8.25
61,02-04-003-105-2,100,Oxide,Cr2O3
65,02-04-003-127-4,100,Spinel,8.1
65,02-04-003-127-4,100,Oxide,Al2O3
65,02-04-003-127-4,100,Spinel,8.25
65,02-04-003-127-4,100,Oxide,NiO
65,02-04-003-127-4,100,Rutile,3.3
69,02-04-003-096-6,100,Spinel,8.1
69,02-04-003-096-6,100,Oxide,Cr2O3
69,02-04-003-096-6,100,Oxide,NiO
71,02-04-003-098-6,100,Oxide,Cr2O3
72,02-04-004-041-4,100,Spinel,8.15
72,02-04-004-041-4,100,Rutile,3.3
73,02-04-004-003-1,8,Rutile,3.3
73,02-04-004-003-1,8,Oxide,Al2O3
73,02-04-004-003-1,8,Oxide,Cr2O3
73,02-04-004-003-5,100,Oxide,Al2O3
73,02-04-004-003-5,100,Rutile,3.3
74,02-04-004-007-6,8,Oxide,Al2O3
74,02-04-004-007-6,8,Rutile,3.3
75,02-04-005-041-2,100,Oxide,NiO
75,02-04-005-041-2,100,Spinel,8.3
75,02-04-005-041-2,100,Oxide,Cr2O3
76,02-04-005-321-1,100,Oxide,NiO
76,02-04-005-321-1,100,Spinel,8.3
76,02-04-005-321-1,100,Oxide,Cr2O3
76,02-04-005-321-1,100,Rutile,3.3
76,02-04-005-321-1,100,Oxide,NiTiO3
76,02-04-005-321-1,100,Oxide,"Ni(W,Mo)O4 Type 2"
77,02-04-005-004-1,8,Oxide,Cr2O3
77,02-04-005-004-1,8,Rutile,Rutile
77,02-04-005-004-5,100,Oxide,Cr2O3
77,02-04-005-004-5,100,Spinel,8.25
77,02-04-005-004-5,100,Rutile,3.3
78,02-04-005-324-1,200,Oxide,NiO
78,02-04-005-324-1,200,Spinel,8.3
78,02-04-005-324-1,200,Oxide,Cr2O3
78,02-04-005-324-1,200,Rutile,3.3
78,02-04-005-324-1,200,Oxide,NiTiO3
78,02-04-005-324-1,200,Unknown,2.88
79,02-04-005-008-1,8,Oxide,Cr2O3
79,02-04-005-008-1,8,Rutile,3.3
79,02-04-005-008-5,100,Oxide,Cr2O3
79,02-04-005-008-5,100,Rutile,3.3
80,02-04-007-323-2,100,Oxide,NiO
80,02-04-007-323-2,100,Spinel,8.3
80,02-04-007-323-2,100,Oxide,Cr2O3
80,02-04-007-323-2,100,Oxide,NiTiO3
80,02-04-007-323-2,100,Rutile,3.3
80,02-04-007-323-2,100,Oxide,"Ni(W,Mo)O4 Type 1"
81,02-04-007-323-5,100,Spinel,8.3
81,02-04-007-323-5,100,Oxide,NiO
81,02-04-007-323-5,100,Oxide,"Ni(W,Mo)O4 Type 1"
81,02-04-007-323-5,100,Rutile,3.3
81,02-04-007-323-5,100,Oxide,Cr2O3
82,02-04-007-337-5,100,Spinel,8.25
82,02-04-007-337-5,100,Oxide,NiO
82,02-04-007-337-5,100,Rutile,3.3
82,02-04-007-337-5,100,Oxide,Cr2O3
82,02-04-007-337-5,100,Oxide,"(Ni,Co,Fe)TiO3"
82,02-04-007-337-5,100,Oxide,"Ni(W,Mo)O4 Type 1"
83,02-04-007-310-2,200,Oxide,NiO
83,02-04-007-310-2,200,Spinel,8.3
83,02-04-007-310-2,200,Rutile,3.3
83,02-04-007-310-2,200,Oxide,"Ni(W,Mo)O4 Type 1"
84,02-04-007-326-2,200,Oxide,NiO
84,02-04-007-326-2,200,Spinel,8.3
84,02-04-007-326-2,200,Oxide,Cr2O3
84,02-04-007-326-2,200,Oxide,NiTiO3
84,02-04-007-326-2,200,Rutile,3.3
85,02-04-007-326-5,200,Oxide,NiO
85,02-04-007-326-5,200,Spinel,8.3
85,02-04-007-326-5,200,Oxide,Al2TiO5
85,02-04-007-326-5,200,Spinel,8.1
85,02-04-007-326-5,200,Oxide,Cr2O3
85,02-04-007-326-5,200,Oxide,"Ni(W,Mo)O4 Type 2"
86,02-04-007-336-5,200,Oxide,NiO
86,02-04-007-336-5,200,Spinel,8.3
86,02-04-007-336-5,200,Rutile,3.3
86,02-04-007-336-5,200,Oxide,Cr2O3
86,02-04-007-336-5,200,Oxide,"(Ni,Co,Fe)TiO3"
86,02-04-007-336-5,200,Rutile,3.3
86,02-04-007-336-5,200,Oxide,"Ni(W,Mo)O4 Type 2"
87,02-04-031-328-3,100,Oxide,NiO
87,02-04-031-328-3,100,Oxide,Cr2O3
87,02-04-031-328-3,100,Spinel,8.3
87,02-04-031-328-3,100,Rutile,3.3
88,02-04-031-327-3,200,Oxide,NiO
88,02-04-031-327-3,200,Spinel,8.3
88,02-04-031-327-3,200,Oxide,Cr2O3
88,02-04-031-327-3,200,Rutile,3.3
89,02-04-008-225-1,75,Oxide,NiO
89,02-04-008-225-1,75,Oxide,"Ni(W,Mo)O4 Type 1"
89,02-04-008-225-1,75,Spinel,8.1
89,02-04-008-225-1,75,Spinel,8.25
89,02-04-008-225-1,75,Rutile,3.3
90,02-04-008-225-2,75,Oxide,NiO
90,02-04-008-225-2,75,Oxide,"Ni(W,Mo)O4 Type 1"
90,02-04-008-225-2,75,Spinel,8.1
90,02-04-008-225-2,75,Spinel,8.25
90,02-04-008-225-2,75,Rutile,3.3
91,02-04-008-310-3,200,Oxide,NiO
91,02-04-008-310-3,200,Spinel,8.1
91,02-04-008-310-3,200,Spinel,8.25
91,02-04-008-310-3,200,Oxide,"Ni(W,Mo)O4 Type 1"
91,02-04-008-310-3,200,Rutile,3.3
91,02-04-008-310-3,200,Oxide,NiTiO3
91,02-04-008-310-3,200,Oxide,Al2O3
92,02-04-009-225-3,100,Oxide,NiO
92,02-04-009-225-3,100,Oxide,"Ni(W,Mo)O4 Type 1"
92,02-04-009-225-3,100,Spinel,8.1
92,02-04-009-225-3,100,Spinel,8.25
92,02-04-009-225-3,100,Rutile,3.3
92,02-04-009-225-3,100,Oxide,HfO2
93,02-04-009-225-6,100,Oxide,NiO
93,02-04-009-225-6,100,Oxide,"Ni(W,Mo)O4 Type 1"
93,02-04-009-225-6,100,Spinel,8.1
93,02-04-009-225-6,100,Spinel,8.25
93,02-04-009-225-6,100,Rutile,3.3
93,02-04-009-225-6,100,Oxide,HfO2
94,02-04-010-225-4,100,Oxide,NiO
94,02-04-010-225-4,100,Oxide,"Ni(W,Mo)O4 Type 1"
94,02-04-010-225-4,100,Spinel,8.1
94,02-04-010-225-4,100,Spinel,8.25
94,02-04-010-225-4,100,Rutile,3.3
94,02-04-010-225-4,100,Oxide,HfO2
95,02-04-010-225-5,100,Oxide,NiO
95,02-04-010-225-5,100,Oxide,"Ni(W,Mo)O4 Type 1"
95,02-04-010-225-5,100,Spinel,8.1
95,02-04-010-225-5,100,Spinel,8.25
95,02-04-010-225-5,100,Rutile,3.3
95,02-04-010-225-5,100,Oxide,HfO2
96,02-04-009-310-4,200,Oxide,NiO
96,02-04-009-310-4,200,Spinel,8.25
96,02-04-009-310-4,200,Spinel,8.1
96,02-04-009-310-4,200,Oxide,"Ni(W,Mo)O4 Type 1"
96,02-04-009-310-4,200,Rutile,3.3
96,02-04-009-310-4,200,Oxide,HfO2
97,02-04-010-310-5,200,Oxide,NiO
97,02-04-010-310-5,200,Oxide,"Ni(W,Mo)O4 Type 1"
97,02-04-010-310-5,200,Spinel,8.1
97,02-04-010-310-5,200,Spinel,8.25
97,02-04-010-310-5,200,Rutile,3.3
97,02-04-010-310-5,200,Oxide,HfO2
98,02-04-011-321-4,100,Spinel,8.1
98,02-04-011-321-4,100,Rutile,3.3
98,02-04-011-321-4,100,Oxide,Al2O3
99,02-04-011-324-4,115,Oxide,"Ni(W,Mo)O4 Type 1"
99,02-04-011-324-4,115,Spinel,8.05
99,02-04-011-324-4,115,Spinel,8.25
99,02-04-011-324-4,115,Rutile,3.3
99,02-04-011-324-4,115,Oxide,NiO
100,02-04-012-323-3,100,Oxide,NiO
100,02-04-012-323-3,100,Spinel,8.25
100,02-04-012-323-3,100,Rutile,3.3
100,02-04-012-323-3,100,Spinel,8.1
100,02-04-012-323-3,100,Oxide,Al2O3
100,02-04-012-323-3,100,Oxide,Cr2O3
101,02-04-012-325-3,200,Spinel,8.1
101,02-04-012-325-3,200,Oxide,NiO
101,02-04-012-325-3,200,Spinel,8.25
101,02-04-012-325-3,200,Rutile,3.3
101,02-04-012-325-3,200,Oxide,Cr2O3
