page,code,time_hr,weight_change_mg_cm2
6,02-04-001-041-1,0,0
6,02-04-001-041-1,14,-0.2
6,02-04-001-041-1,28,-0.63
6,02-04-001-041-1,42,-1.18
6,02-04-001-041-1,56,-1.5
6,02-04-001-041-1,70,-1.87
6,02-04-001-041-1,86,-2.47
6,02-04-001-041-1,100,-2.87
7,02-04-001-078-2,0,0
7,02-04-001-078-2,10,-1.82
7,02-04-001-078-2,25,-3.43
7,02-04-001-078-2,40,-5.45
7,02-04-001-078-2,55,-8
7,02-04-001-078-2,70,-11.54
7,02-04-001-078-2,85,-15.6
7,02-04-001-078-2,100,-19.59
8,02-04-001-095-1,0,0
8,02-04-001-095-1,1,0.39
8,02-04-001-095-1,15,-1.21
8,02-04-001-095-1,30,-1.99
8,02-04-001-095-1,45,-2.53
8,02-04-001-095-1,60,-3.35
8,02-04-001-095-1,75,-4.2
8,02-04-001-095-1,90,-4.81
8,02-04-001-095-1,100,-5.56
9,02-04-001-095-2,0,0
9,02-04-001-095-2,1,0.21
9,02-04-001-095-2,15,-1.17
9,02-04-001-095-2,30,-1.73
9,02-04-001-095-2,45,-2.51
9,02-04-001-095-2,60,-3.39
9,02-04-001-095-2,75,-3.99
9,02-04-001-095-2,90,-4.49
9,02-04-001-095-2,100,-5.05
10,02-04-001-101-3,0,0
10,02-04-001-101-3,1,0.29
10,02-04-001-101-3,15,0.09
10,02-04-001-101-3,30,-0.29
10,02-04-001-101-3,45,-0.93
10,02-04-001-101-3,60,-1.39
10,02-04-001-101-3,75,-1.92
10,02-04-001-101-3,90,-2.37
10,02-04-001-101-3,100,-2.62
11,02-04-001-101-6,0,0
11,02-04-001-101-6,1,0.35
11,02-04-001-101-6,15,-1.03
11,02-04-001-101-6,30,-1.65
11,02-04-001-101-6,45,-2.2
11,02-04-001-101-6,60,-2.69
11,02-04-001-101-6,75,-3.13
11,02-04-001-101-6,90,-3.62
11,02-04-001-101-6,100,-3.97
12,02-04-001-107-4,0,0
12,02-04-001-107-4,1,0.42
12,02-04-001-107-4,15,-1.45
12,02-04-001-107-4,30,-2.06
12,02-04-001-107-4,45,-2.77
12,02-04-001-107-4,60,-3.67
12,02-04-001-107-4,75,-4.73
12,02-04-001-107-4,90,-5.8
12,02-04-001-107-4,100,-6.8
13,02-04-001-107-5,0,0
13,02-04-001-107-5,1,0.47
13,02-04-001-107-5,15,-0.79
13,02-04-001-107-5,30,-1.92
13,02-04-001-107-5,45,-3.06
13,02-04-001-107-5,60,-4.43
13,02-04-001-107-5,75,-6.03
13,02-04-001-107-5,90,-8
13,02-04-001-107-5,100,-9.45
14,02-04-001-123-1,0,0
14,02-04-001-123-1,1,0.11
14,02-04-001-123-1,15,-1.17
14,02-04-001-123-1,30,-2.18
14,02-04-001-123-1,45,-3.34
14,02-04-001-123-1,60,-4.78
14,02-04-001-123-1,75,-6.48
14,02-04-001-123-1,90,-9.15
14,02-04-001-123-1,100,-12.11
