page,code,time_hr,type,composition,,,,,,,
6,02-04-001-041-1,100,Spinel,8.10,,,,,,,
6,02-04-001-041-1,100,Unknown,2.57,,,,,,,
6,02-04-001-041-1,100,Unknown,3.29,,,,,,,
6,02-04-001-041-1,100,Unknown,3.52,,,,,,,
7,02-04-001-078-2,100,Rutile,3.30,,,,,,,
7,02-04-001-078-2,100,Spinel,8.10,,,,,,,
7,02-04-001-078-2,100,Oxide,NiO,,,,,,,
7,02-04-001-078-2,100,Oxide,Al2O3,,,,,,,
8,02-04-001-095-1,100,Spinel,8.15,,,,,,,
8,02-04-001-095-1,100,Oxide,NiO,,,,,,,
11,02-04-001-101-6,100,Oxide,NiO,,,,,,,
11,02-04-001-101-6,100,Oxide,Al2O3,,,,,,,
11,02-04-001-101-6,100,Rutile,3.30,,,,,,,
11,02-04-001-101-6,100,Spinel,8.10,,,,,,,
13,02-04-001-107-5,100,Rutile,3.30,,,,,,,
13,02-04-001-107-5,100,Oxide,Al2O3,,,,,,,
13,02-04-001-107-5,100,Spinel,8.15,,,,,,,
13,02-04-001-107-5,100,Oxide,NiO,,,,,,,
16,02-04-001-123-4,100,Spinel,8.10,,,,,,,
16,02-04-001-123-4,100,Oxide,Al2O3,,,,,,,
16,02-04-001-123-4,100,Rutile,3.30,,,,,,,
16,02-04-001-123-4,100,Spinel,8.25,,,,,,,
17,02-04-001-123-5,100,Spinel,8.10,,,,,,,
17,02-04-001-123-5,100,Oxide,Al2O3,,,,,,,
17,02-04-001-123-5,100,Rutile,3.30,,,,,,,
17,02-04-001-123-5,100,Oxide,NiO,,,,,,,
17,02-04-001-123-5,100,Spinel,8.25,,,,,,,
17,02-04-001-123-5,100,Oxide,Cr2O3,,,,,,,
22,02-04-001-130-2,100,Spinel,8.1,,,,,,,
22,02-04-001-130-2,100,Spinel,8.25,,,,,,,
22,02-04-001-130-2,100,Oxide,NiO,,,,,,,
22,02-04-001-130-2,100,Rutile,3.30,,,,,,,
25,02-04-001-130-5,100,Spinel,8.10,,,,,,,
25,02-04-001-130-5,100,Rutile,3.30,,,,,,,
25,02-04-001-130-5,100,Oxide,NiO,,,,,,,
26,02-04-001-130-6,100,Spinel,8.10,,,,,,,
26,02-04-001-130-6,100,Rutile,3.30,,,,,,,
26,02-04-001-130-6,100,Oxide,NiO,,,,,,,
26,02-04-001-130-6,100,Spinel,8.25,,,,,,,
28,02-04-001-204-4,100,Oxide,Al2O3,,,,,,,
28,02-04-001-204-4,100,Spinel,8.15,,,,,,,
29,02-04-001-221-1,100,Spinel,8.10,,,,,,,
29,02-04-001-221-1,100,Oxide,Al2O3,,,,,,,
29,02-04-001-221-1,100,Rutile,3.30,,,,,,,
30,02-04-001-221-5,100,Spinel,8.20,,,,,,,
30,02-04-001-221-5,100,Oxide,Al2O3,,,,,,,
30,02-04-001-221-5,100,Rutile,3.30,,,,,,,
31,02-04-001-328-1,100,Spinel,8.10,,,,,,,
31,02-04-001-328-1,100,Oxide,Al2O3,,,,,,,
31,02-04-001-328-1,100,Rutile,3.30,,,,,,,
31,02-04-001-328-1,100,Spinel,8.25,,,,,,,
32,02-04-001-321-2,100,Spinel,8.10,,,,,,,
32,02-04-001-321-2,100,Oxide,Al2O3,,,,,,,
32,02-04-001-321-2,100,Spinel,8.25,,,,,,,
32,02-04-001-321-2,100,Rutile,3.30,,,,,,,
33,02-04-001-328-1,100,Spinel,8.10,,,,,,,
33,02-04-001-328-1,100,Oxide,Al2O3,,,,,,,
33,02-04-001-328-1,100,Rutile,3.30,,,,,,,
33,02-04-001-328-1,100,Spinel,8.25,,,,,,,
34,02-04-001-337-4,100,Spinel,8.10,,,,,,,
34,02-04-001-337-4,100,Oxide,Al2O3,,,,,,,
34,02-04-001-337-4,100,Rutile,3.30,,,,,,,
34,02-04-001-337-4,100,Spinel,8.25,,,,,,,
35,02-04-001-002-1,8,Oxide,Al2O3,,,,,,,
35,02-04-001-002-1,8,Rutile,3.30,,,,,,,
35,02-04-001-002-5,100,Oxide,Al2O3,,,,,,,
35,02-04-001-002-5,100,Rutile,3.30,,,,,,,
40,02-04-001-115-3,100,Spinell,8.10,,,,,,,
40,02-04-001-115-3,100,Rutile,3.30,,,,,,,
40,02-04-001-115-3,100,Oxide,Al2O3,,,,,,,
42,02-04-001-186-6,200,Spinel,8.10,,,,,,,
42,02-04-001-186-6,200,Oxide,Al2O3,,,,,,,
42,02-04-001-186-6,200,Rutile,3.30,,,,,,,
42,02-04-001-186-6,500,Oxide,Al2O3,,,,,,,
42,02-04-001-186-6,500,Spinel,8.10,,,,,,,
42,02-04-001-186-6,500,Rutile,3.30,,,,,,,
43,02-04-001-190-5,200,Spinel,8.10,,,,,,,
43,02-04-001-190-5,200,Oxide,Al2O3,,,,,,,
43,02-04-001-190-5,200,Rutile,3.30,,,,,,,
44,02-04-001-231-5,500,Spinel,8.10,,,,,,,
44,02-04-001-231-5,500,Oxide,Al2O3,,,,,,,
44,02-04-001-231-5,500,Rutile,3.30,,,,,,,
45,02-04-001-238-5,500,Spinel,8.10,,,,,,,
45,02-04-001-238-5,500,Oxide,Al2O3,,,,,,,
45,02-04-001-238-5,500,Rutile,3.30,,,,,,,
46,02-04-001-276-6,200,Spinel,8.10,,,,,,,
46,02-04-001-276-6,200,Rutile,3.30,,,,,,,
46,02-04-001-276-6,200,Oxide,Al2O3,,,,,,,
46,02-04-001-276-6,500,Spinel,8.10,,,,,,,
46,02-04-001-276-6,500,Oxide,Al2O3,,,,,,,
46,02-04-001-276-6,500,Oxide,NiO,,,,,,,
46,02-04-001-276-6,500,Rutile,3.30,,,,,,,
47,02-04-001-324-2,200,Spinel,8.10,,,,,,,
47,02-04-001-324-2,200,Oxide,Al2O3,,,,,,,
47,02-04-001-324-2,200,Rutile,3.30,,,,,,,
48,02-04-001-327-1,200,Oxide,Al2O3,,,,,,,
48,02-04-001-327-1,200,Spinel,8.05,,,,,,,
